Date (Local),Daily Mean PM2.5 Concentration,Dew Point (C),Avg Air Temp (C),Avg Vap Pres (kPa),Wind Run (km),Avg Wind Speed (m/s),Precip (mm),Lat,Long
1/1/2018 0:00,18.2,6.7,12.8,1,116.8,1.4,0,37.931539,-122.302714
1/2/2018 0:00,19.2,4,14.3,0.8,164.2,1.9,0,37.931539,-122.302714
1/3/2018 0:00,36.6,7,13.8,1,194.5,2.3,5.6,37.931539,-122.302714
1/4/2018 0:00,32.2,12.3,13.7,1.4,150.6,1.7,1.1,37.931539,-122.302714
1/5/2018 0:00,6.1,13.3,13.3,1.5,147,1.7,8.3,37.931539,-122.302714
1/6/2018 0:00,10.1,10.1,11,1.2,120.9,1.4,0.1,37.931539,-122.302714
1/7/2018 0:00,12.8,8,9.7,1.1,169.1,2,0,37.931539,-122.302714
1/8/2018 0:00,8.1,12.8,11.8,1.5,189.4,2.2,53.6,37.931539,-122.302714
1/9/2018 0:00,6.1,12.4,12,1.4,174.7,2,13.3,37.931539,-122.302714
1/10/2018 0:00,7.8,10.3,10.3,1.3,129.5,1.5,1.2,37.931539,-122.302714
1/11/2018 0:00,9.6,11.7,11.7,1.4,97.7,1.1,0.9,37.931539,-122.302714
1/12/2018 0:00,9.2,10.8,11.5,1.3,119.1,1.4,0.6,37.931539,-122.302714
1/13/2018 0:00,16.8,6.9,11.9,1,260.2,3,0.4,37.931539,-122.302714
1/14/2018 0:00,27.3,8.2,10.6,1.1,312.2,3.6,0.6,37.931539,-122.302714
1/15/2018 0:00,28.1,9.2,12.3,1.2,149.2,1.7,0.8,37.931539,-122.302714
1/16/2018 0:00,16,13.1,12.6,1.5,172.8,2,0.6,37.931539,-122.302714
1/17/2018 0:00,19.8,11.4,12.5,1.3,138.9,1.6,0.1,37.931539,-122.302714
1/18/2018 0:00,16.9,12.4,10.8,1.4,155.3,1.8,0.1,37.931539,-122.302714
1/19/2018 0:00,6.7,5.7,9,0.9,110.4,1.3,0.2,37.931539,-122.302714
1/20/2018 0:00,6.5,3.4,8.1,0.8,135.9,1.6,0,37.931539,-122.302714
1/21/2018 0:00,8.5,5.8,9.3,0.9,175,2,0.1,37.931539,-122.302714
